0, 1, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00002.png', 4.718541497943672
1, 2, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00003.png', 5.498098625890567
2, 3, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00004.png', 5.582922079540197
3, 4, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00005.png', 5.299276747708726
4, 5, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00006.png', 4.709760992453968
5, 6, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00007.png', 4.518305592425615
6, 7, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00008.png', 5.480156316840092
7, 8, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00009.png', 5.371367065431455
8, 9, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00010.png', 4.611785463737031
9, 10, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00011.png', 4.4575688508983
10, 11, './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_chocolate,bread/1/flow_x_00012.png', 4.455251271284661
