0, 1, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00002.png', 5.054477278517785
1, 2, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00003.png', 5.930375093625052
2, 3, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00004.png', 4.933760367137873
3, 4, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00005.png', 4.416526075266308
4, 5, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00006.png', 4.221788854387708
5, 6, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00007.png', 3.871687717461617
6, 7, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00008.png', 4.638884164152575
7, 8, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00009.png', 4.148486627950717
8, 9, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00010.png', 4.327113196373892
9, 10, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00011.png', 3.918508723655288
10, 11, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00012.png', 3.773270762489013
11, 12, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00013.png', 4.125450223206002
12, 13, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00014.png', 4.550855844978065
13, 14, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00015.png', 3.6376778961803304
14, 15, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00016.png', 4.911921856152561
15, 16, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00017.png', 4.762023597678983
16, 17, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00018.png', 4.710353936985588
17, 18, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00019.png', 3.9937623068191366
18, 19, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00020.png', 4.749187053676648
19, 20, './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_coffee,spoon,cup/1/flow_x_00021.png', 5.263022622434049
