0, 1, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00002.png', 4.860898042813652
1, 2, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00003.png', 5.192616466835002
2, 3, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00004.png', 5.41998437001056
3, 4, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00005.png', 5.175778101459855
4, 5, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00006.png', 5.245155099522365
5, 6, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00007.png', 5.108440502560623
6, 7, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00008.png', 4.843824580169283
7, 8, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00009.png', 5.391175689588821
8, 9, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00010.png', 4.9911725608552615
9, 10, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00011.png', 5.3635258540763475
10, 11, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00012.png', 5.126245861707678
11, 12, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00013.png', 4.99368646539386
12, 13, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00014.png', 4.975719087792763
13, 14, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00015.png', 4.510756586185787
14, 15, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00016.png', 4.991886763635502
15, 16, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00017.png', 3.9991939455385643
16, 17, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00018.png', 4.597427517712698
17, 18, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00019.png', 4.670281605027037
18, 19, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00020.png', 4.000095423382079
19, 20, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00021.png', 3.8033122857991377
20, 21, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00022.png', 3.315317742330437
21, 22, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00023.png', 3.5501907300756788
22, 23, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00024.png', 3.6379869378052256
23, 24, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00025.png', 3.529482107780696
24, 25, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00026.png', 3.574369302587498
25, 26, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00027.png', 3.9911851835473446
26, 27, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00028.png', 4.295069692926399
27, 28, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00029.png', 3.867636527419962
28, 29, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00030.png', 4.101798771322492
29, 30, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00031.png', 5.134446941970042
30, 31, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00032.png', 4.534219085207366
31, 32, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00033.png', 4.99248682095754
32, 33, './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/put_cheese,bread/1/flow_x_00034.png', 5.509744654880058
