0, 1, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00002.png', 4.79561137880024
1, 2, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00003.png', 4.659389466655528
2, 3, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00004.png', 4.605947675398998
3, 4, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00005.png', 4.7292671174286305
4, 5, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00006.png', 4.280628344205541
5, 6, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00007.png', 4.526053180462372
6, 7, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00008.png', 4.704858265886952
7, 8, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00009.png', 5.156486255360485
8, 9, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00010.png', 4.535176273703774
9, 10, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00011.png', 4.411607602930422
10, 11, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00012.png', 4.593667181012508
11, 12, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00013.png', 3.8700772129741394
12, 13, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00014.png', 3.8185306450740018
13, 14, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00015.png', 3.595651399153363
