0, 1, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00002.png', 4.581352861581306
1, 2, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00003.png', 5.854715625199517
2, 3, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00004.png', 5.384943021404384
3, 4, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00005.png', 4.5988505667490065
4, 5, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00006.png', 4.985584578290277
5, 6, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00007.png', 4.844359023315866
6, 7, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00008.png', 4.561386097505452
7, 8, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00009.png', 4.669991480094737
8, 9, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00010.png', 4.903934216802423
9, 10, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00011.png', 4.249749655971515
10, 11, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00012.png', 5.045642078238003
11, 12, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00013.png', 4.752703567244398
12, 13, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00014.png', 3.926999101222778
13, 14, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00015.png', 4.355702557007611
14, 15, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00016.png', 4.328468963789605
15, 16, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00017.png', 4.218138812965179
