0, 1, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00002.png', 4.2553989953750735
1, 2, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00003.png', 4.229977344812945
2, 3, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00004.png', 4.134022783507283
3, 4, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00005.png', 4.286964044240137
4, 5, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00006.png', 4.359146148564554
5, 6, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00007.png', 4.242715143676836
6, 7, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00008.png', 4.329910798472108
7, 8, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00009.png', 3.96909703866684
8, 9, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00010.png', 3.9556540008564576
9, 10, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00011.png', 3.902317083464595
10, 11, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00012.png', 3.509985336040801
11, 12, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00013.png', 3.8181270441056037
12, 13, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00014.png', 3.399165485815451
13, 14, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00015.png', 3.248426450530209
14, 15, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00016.png', 3.3581019549672413
15, 16, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00017.png', 3.2361642873036347
16, 17, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00017.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00018.png', 2.959573223568442
17, 18, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00018.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00019.png', 3.2773915790657373
18, 19, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00019.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00020.png', 3.2316170767352306
19, 20, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00020.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00021.png', 3.713449647442797
20, 21, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00021.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00022.png', 3.8509676670166697
21, 22, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00022.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00023.png', 3.1493896945581277
22, 23, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00023.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00024.png', 3.276346452050254
23, 24, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00024.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00025.png', 3.305797186645996
24, 25, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00025.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00026.png', 3.482623034901848
25, 26, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00026.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00027.png', 3.4418425915203863
26, 27, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00027.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00028.png', 3.5921490162152265
27, 28, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00028.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00029.png', 3.531278672507685
28, 29, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00029.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00030.png', 3.4021834587377002
29, 30, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00030.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00031.png', 2.705748484463665
30, 31, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00031.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00032.png', 3.7881311262327784
31, 32, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00032.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00033.png', 3.675674111378195
32, 33, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00033.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00034.png', 3.954319715604779
33, 34, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00034.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00035.png', 3.8279217890906687
34, 35, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00035.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00036.png', 4.433623766794139
35, 36, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00036.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00037.png', 5.1677232969188305
36, 37, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00037.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00038.png', 4.369266085099995
37, 38, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00038.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00039.png', 4.392991855320134
38, 39, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00039.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00040.png', 4.41618099814912
39, 40, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00040.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00041.png', 4.034944437975373
40, 41, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00041.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00042.png', 4.098191142535558
41, 42, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00042.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00043.png', 4.122163496100318
42, 43, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00043.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00044.png', 3.8215174625137545
43, 44, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00044.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00045.png', 3.87293817788278
44, 45, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00045.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00046.png', 3.93349861846738
45, 46, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00046.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00047.png', 4.497436764097493
46, 47, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00047.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00048.png', 4.133856516738265
47, 48, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00048.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00049.png', 3.93916464647427
48, 49, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00049.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00050.png', 3.538769746502336
49, 50, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00050.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00051.png', 3.6716448740535776
50, 51, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00051.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00052.png', 3.698458505919672
51, 52, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00052.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00053.png', 4.020259004396612
52, 53, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00053.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00054.png', 4.491775394376225
53, 54, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00054.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00055.png', 4.6515522749244615
54, 55, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00055.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00056.png', 6.5433395956573035
55, 56, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00056.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00057.png', 6.955594969016916
56, 57, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00057.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00058.png', 6.426833653457994
57, 58, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00058.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00059.png', 4.946044119504418
58, 59, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00059.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00060.png', 5.345259203314259
59, 60, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00060.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00061.png', 5.010189003898818
60, 61, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00061.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00062.png', 5.277150770167394
61, 62, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00062.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00063.png', 5.0717266688692755
62, 63, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00063.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00064.png', 4.351244076328591
63, 64, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00064.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00065.png', 4.5000780282194155
64, 65, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00065.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00066.png', 4.47291019992411
65, 66, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00066.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00067.png', 4.248452942339689
66, 67, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00067.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00068.png', 3.73954454111873
67, 68, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00068.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00069.png', 3.4614401615636807
68, 69, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00069.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00070.png', 3.794813049975806
69, 70, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00070.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00071.png', 3.4145194624785153
70, 71, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00071.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00072.png', 3.7468460340820204
71, 72, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00072.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00073.png', 3.9036722918318807
72, 73, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00073.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00074.png', 4.2317650007221665
73, 74, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00074.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00075.png', 3.76381166343911
74, 75, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00075.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00076.png', 4.146696999514943
75, 76, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00076.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00077.png', 3.8437022260236944
76, 77, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00077.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00078.png', 3.7876932908621646
77, 78, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00078.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00079.png', 4.034921915396136
78, 79, './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00079.png', './GTEA61/flow_x_processed/S1/spread_peanut,spoon,bread/2/flow_x_00080.png', 4.11993201747651
