0, 1, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00002.png', 5.6054649698627
1, 2, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00003.png', 5.64108519176948
2, 3, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00004.png', 4.912484013525879
3, 4, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00005.png', 4.7947711534620066
4, 5, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00006.png', 4.664776740606062
5, 6, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00007.png', 3.8445548477798916
6, 7, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00008.png', 4.986050050124709
7, 8, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00009.png', 4.387779586671144
8, 9, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00010.png', 3.863960372151362
9, 10, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00011.png', 4.686981523513492
10, 11, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00012.png', 4.865133548079191
11, 12, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00013.png', 4.206268737434278
12, 13, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00014.png', 4.673026743051416
13, 14, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00015.png', 4.092050006912965
14, 15, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00016.png', 4.6603819510108195
15, 16, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00017.png', 4.704269670576088
16, 17, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00018.png', 5.277323987319899
17, 18, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00019.png', 4.084090226804429
18, 19, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00020.png', 4.732284129119125
19, 20, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00021.png', 5.020111890420145
20, 21, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00022.png', 4.801844390636084
21, 22, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00023.png', 4.253493619640756
22, 23, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00024.png', 4.6241655550158764
23, 24, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00025.png', 4.9486897030795385
24, 25, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00026.png', 5.028973651530088
25, 26, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00027.png', 5.712336026455835
26, 27, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00028.png', 5.539942872649883
27, 28, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00029.png', 4.354963675804818
28, 29, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00030.png', 4.057936426088266
29, 30, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00031.png', 4.650389391005918
30, 31, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00032.png', 4.848046081681492
31, 32, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00033.png', 4.598994802814355
32, 33, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00034.png', 4.433490038958898
