0, 1, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00002.png', 6.877575637194834
1, 2, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00003.png', 5.884677161992683
2, 3, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00004.png', 5.413708489682704
3, 4, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00005.png', 6.231186684706629
4, 5, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00006.png', 5.711160643315254
5, 6, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00007.png', 4.374476724415772
6, 7, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00008.png', 5.569285054635412
7, 8, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00009.png', 6.279712881247392
8, 9, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00010.png', 6.070433708720988
9, 10, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00011.png', 6.370178594734743
10, 11, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00012.png', 6.698408863475049
11, 12, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00013.png', 5.255997727783784
12, 13, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00014.png', 6.271984253795092
13, 14, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00015.png', 6.283196890059109
14, 15, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00016.png', 5.593431519819639
15, 16, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00017.png', 5.358622149951834
16, 17, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00018.png', 4.411730172724772
17, 18, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00019.png', 4.805835264101973
18, 19, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00020.png', 5.1200396035901985
19, 20, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00021.png', 5.075550163518105
20, 21, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00022.png', 3.7060860848490784
21, 22, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00023.png', 4.375147504037494
22, 23, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00024.png', 5.190415713334546
23, 24, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00025.png', 3.744962053824808
24, 25, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00026.png', 5.164674381110212
25, 26, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00027.png', 4.921080078419202
26, 27, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00028.png', 5.412873285181322
27, 28, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00029.png', 4.911800457952569
28, 29, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00030.png', 5.442868414201322
29, 30, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00031.png', 4.764715336707695
30, 31, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00032.png', 4.280643971873481
31, 32, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00033.png', 4.093361098229304
32, 33, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00034.png', 4.657677128751484
33, 34, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00035.png', 3.893365637754308
34, 35, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00036.png', 5.241593247140913
35, 36, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00037.png', 4.558786532226401
36, 37, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00038.png', 4.467967189437421
37, 38, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00039.png', 5.007268948491103
38, 39, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00040.png', 4.700386641545726
39, 40, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00041.png', 5.063662558650332
40, 41, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00042.png', 4.259945532851114
41, 42, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00043.png', 4.728130123322364
42, 43, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00044.png', 5.223937362303211
43, 44, './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/put_bread,cheese,bread/1/flow_x_00045.png', 4.9267176581626915
