0, 1, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00002.png', 4.3616652478827245
1, 2, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00003.png', 4.2458520995101585
2, 3, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00004.png', 4.293248198266907
3, 4, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00005.png', 4.134594303940484
4, 5, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00006.png', 4.285324485458474
5, 6, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00007.png', 4.270921838757886
6, 7, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00008.png', 3.643371301063027
7, 8, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00009.png', 3.855245450250962
8, 9, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00010.png', 3.4393510403297207
9, 10, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00011.png', 3.2052823556612324
10, 11, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00012.png', 3.6778068067505054
11, 12, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00013.png', 4.402761426850075
12, 13, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00014.png', 3.9881057492416194
13, 14, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00015.png', 3.8333651689750567
14, 15, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00016.png', 3.627521220969227
15, 16, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00017.png', 4.023267707523627
16, 17, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/2/flow_x_00018.png', 3.4906932970145745
