0, 1, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00002.png', 5.029577820360016
1, 2, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00003.png', 4.820889677157196
2, 3, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00004.png', 4.261235042379237
3, 4, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00005.png', 3.944238422203682
4, 5, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00006.png', 4.495617900371762
5, 6, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00007.png', 3.9890636779940993
6, 7, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00008.png', 4.398884433226884
7, 8, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00009.png', 6.4828950246619845
8, 9, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00010.png', 6.8225837872762645
9, 10, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00011.png', 4.242521948507096
10, 11, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00012.png', 4.436886128223558
11, 12, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00013.png', 4.485329601365556
12, 13, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00014.png', 4.606925995407019
13, 14, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00015.png', 4.715554383598099
14, 15, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00016.png', 4.178643389706125
15, 16, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00017.png', 4.186730440145681
16, 17, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00018.png', 4.156493248375728
17, 18, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00019.png', 3.924548192812964
18, 19, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00020.png', 4.781913556747233
19, 20, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00021.png', 5.295011505362411
20, 21, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00022.png', 4.725462773390055
21, 22, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00023.png', 4.994572758505765
22, 23, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00024.png', 5.040918618329537
23, 24, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00025.png', 6.239230799388267
24, 25, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00026.png', 6.177013780951074
25, 26, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00027.png', 3.8829866527038344
26, 27, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00028.png', 4.273436537870812
27, 28, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00029.png', 3.6444680033849886
28, 29, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00030.png', 4.65608763266639
29, 30, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00031.png', 4.422037569250057
30, 31, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00032.png', 4.716440890860633
31, 32, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00033.png', 4.927397469916062
32, 33, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00034.png', 5.100408511417825
33, 34, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00035.png', 5.326664390845752
34, 35, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00036.png', 4.9861502561140325
35, 36, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00037.png', 4.417982846477639
36, 37, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00038.png', 4.621285732677534
37, 38, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00039.png', 5.474032786534909
38, 39, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00040.png', 5.036862358180781
39, 40, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00041.png', 3.9539522209115177
40, 41, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00042.png', 4.623899846278389
41, 42, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00043.png', 3.442246536407522
42, 43, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00044.png', 3.660696556786324
43, 44, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00045.png', 3.682739812622033
44, 45, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00046.png', 4.268279723879992
45, 46, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00047.png', 4.7173894788589275
46, 47, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00048.png', 5.368749916538448
47, 48, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00049.png', 5.340156914008112
48, 49, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00050.png', 5.893513020307388
49, 50, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00051.png', 5.846293843171317
50, 51, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00052.png', 4.63149690525583
51, 52, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00053.png', 4.739012776408916
52, 53, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00054.png', 5.10144945508906
53, 54, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00055.png', 4.7186098669313745
54, 55, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00056.png', 5.140738934309362
55, 56, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00057.png', 4.438030070719399
56, 57, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00058.png', 4.230521405133611
57, 58, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00059.png', 4.5753643178454215
58, 59, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00060.png', 4.653855437963266
59, 60, './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S3/pour_honey,bread/1/flow_x_00061.png', 4.410077359021008
