0, 1, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00002.png', 5.576498083566525
1, 2, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00003.png', 5.283329569376855
2, 3, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00004.png', 5.55576180450552
3, 4, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00005.png', 5.699807833672838
4, 5, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00006.png', 4.982369085167385
5, 6, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00007.png', 4.468331937763944
6, 7, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00008.png', 4.836812486479212
7, 8, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00009.png', 3.8355950689543974
8, 9, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00010.png', 4.192718150153651
9, 10, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00011.png', 4.0396619052698
10, 11, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00012.png', 3.8140209804443717
11, 12, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00013.png', 3.708696820521612
12, 13, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00014.png', 4.0192268915400655
13, 14, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00015.png', 3.5756761767858736
14, 15, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00016.png', 3.766132021973907
15, 16, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00017.png', 4.074943256368048
16, 17, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00018.png', 3.5942277450781503
17, 18, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00019.png', 3.5711464251470533
18, 19, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00020.png', 2.9753550913712865
19, 20, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00021.png', 3.0847408554465194
20, 21, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00022.png', 3.239314020276807
21, 22, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00023.png', 2.959946578760493
22, 23, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00024.png', 3.2189597982289904
23, 24, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00025.png', 3.3796207458564083
24, 25, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00026.png', 3.3673725459895314
25, 26, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00027.png', 3.277249997692659
26, 27, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00028.png', 3.9261546409103665
27, 28, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00029.png', 4.118179503728374
28, 29, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00030.png', 3.105899824288904
29, 30, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00031.png', 3.523982144322692
30, 31, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00032.png', 4.772728023975598
31, 32, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00033.png', 4.930199984358844
32, 33, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00034.png', 3.382878541707134
33, 34, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00035.png', 3.4071942596080667
34, 35, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00036.png', 3.8228938972722024
35, 36, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00037.png', 3.670326982012374
36, 37, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00038.png', 3.513755448514544
37, 38, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00039.png', 3.629683957041632
38, 39, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00040.png', 3.863353569139612
39, 40, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00041.png', 3.8570716861374676
40, 41, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00042.png', 3.338894300352836
41, 42, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00043.png', 3.231811796387963
42, 43, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00044.png', 3.473849367576976
43, 44, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00045.png', 3.4766763663808864
44, 45, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00046.png', 3.5249485007787835
45, 46, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00047.png', 4.098153899680639
