0, 1, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', 6.480596011414156
1, 2, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', 6.089410662230154
2, 3, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', 5.542605962709848
3, 4, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', 6.060784319325804
4, 5, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', 5.697173084963879
5, 6, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', 5.424930903197353
6, 7, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', 5.719467473529568
7, 8, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', 5.526468907484812
8, 9, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', 5.124386254041031
9, 10, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', 4.2324960499352
10, 11, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', 4.368479020276479
11, 12, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', 5.218099580067212
12, 13, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', 4.4829485733975325
13, 14, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', 4.465120819224429
14, 15, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', 5.002723677908822
15, 16, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', 4.549950517140046
16, 17, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', 4.862349493706898
17, 18, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', 5.392835182786588
18, 19, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', 5.328632245708121
19, 20, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', 6.371673691645309
20, 21, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', 5.283681576488377
21, 22, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', 5.090270853993669
22, 23, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', 5.213048278179722
23, 24, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', 5.7641039920126875
24, 25, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00026.png', 5.459640254646542
25, 26, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00027.png', 5.655336399058331
26, 27, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00028.png', 5.5299300380109875
27, 28, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00029.png', 5.379108683529787
28, 29, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00030.png', 5.053352452355274
29, 30, './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_mayonnaise,cheese,bread/1/flow_x_00031.png', 5.907447510011135
