0, 1, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00002.png', 4.479330399963469
1, 2, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00003.png', 4.532570314695464
2, 3, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00004.png', 4.373797882982316
3, 4, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00005.png', 5.069646994621288
4, 5, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00006.png', 4.621134575106785
5, 6, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00007.png', 4.491099968202659
6, 7, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00008.png', 4.737838444927055
7, 8, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00009.png', 4.622391151330566
8, 9, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00010.png', 5.65438546746421
9, 10, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00011.png', 5.051836261057785
10, 11, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00012.png', 4.780142299607717
11, 12, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00013.png', 4.615135032547995
12, 13, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00014.png', 4.426319328883081
13, 14, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00015.png', 4.3352000806177164
14, 15, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00016.png', 4.425812176892792
15, 16, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00017.png', 4.084299889322161
16, 17, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00018.png', 3.8027501418110323
17, 18, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00019.png', 3.463973683901747
18, 19, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00020.png', 3.3933668795419702
19, 20, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00021.png', 4.026096990469147
20, 21, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00022.png', 3.8569336047386513
21, 22, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00023.png', 4.189260200873034
22, 23, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00024.png', 4.229201817866173
23, 24, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00025.png', 3.6652196448296124
24, 25, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00026.png', 3.8554136649650115
25, 26, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00027.png', 3.2788627111179727
26, 27, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00028.png', 4.262772769147819
27, 28, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00029.png', 4.682795296985953
28, 29, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00030.png', 4.2314753505903795
29, 30, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00031.png', 3.6249418560893134
30, 31, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00032.png', 3.963401515603374
31, 32, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00033.png', 4.205831088424106
32, 33, './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_mustard,cheese,bread/1/flow_x_00034.png', 3.4770451365892785
