0, 1, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00002.png', 6.354463865877204
1, 2, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00003.png', 5.724352369643271
2, 3, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00004.png', 5.42263547908809
3, 4, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00005.png', 5.3886192953306
4, 5, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00006.png', 5.042971495883412
5, 6, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00007.png', 4.71755223606789
6, 7, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00008.png', 5.1574028180709925
7, 8, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00009.png', 4.338160461391992
8, 9, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00010.png', 4.885436567999511
9, 10, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00011.png', 4.876126923325263
10, 11, './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S3/put_hotdog,bread/1/flow_x_00012.png', 3.797432425073212
