0, 1, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00002.png', 4.095487456856774
1, 2, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00003.png', 4.622181506053048
2, 3, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00004.png', 5.56079382661567
3, 4, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00005.png', 5.869624382533353
4, 5, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00006.png', 7.004676053875449
5, 6, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00007.png', 5.565304648975706
6, 7, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00008.png', 5.01999796512724
7, 8, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00009.png', 5.074232040783435
8, 9, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00010.png', 4.602283815323127
9, 10, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00011.png', 4.514421538579692
10, 11, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00012.png', 5.355634323970316
11, 12, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00013.png', 4.785797992796454
12, 13, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00014.png', 4.632439639457422
13, 14, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00015.png', 4.743158864218599
14, 15, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00016.png', 5.1822146067715344
15, 16, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00017.png', 5.04294912889393
16, 17, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00018.png', 4.7699339827269105
17, 18, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00019.png', 5.559649930730684
18, 19, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00020.png', 5.7554957672640334
19, 20, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00021.png', 6.865379794176677
20, 21, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00022.png', 4.7225482274786446
21, 22, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00023.png', 5.173891477243449
22, 23, './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_coffee,spoon/4/flow_x_00024.png', 5.8932256796000155
