0, 1, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00002.png', 5.929034960320157
1, 2, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00003.png', 5.531904759672132
2, 3, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00004.png', 4.603986512114219
3, 4, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00005.png', 4.902920067744426
4, 5, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00006.png', 4.469217181348487
5, 6, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00007.png', 5.17575891471615
6, 7, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00008.png', 4.543076008474026
7, 8, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00009.png', 4.594238172074189
8, 9, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00010.png', 4.484088443054601
9, 10, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00011.png', 5.478116797698946
10, 11, './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_ketchup,hotdog,bread/1/flow_x_00012.png', 5.1304588785711465
