0, 1, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00002.png', 6.324703750631979
1, 2, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00003.png', 6.32894629205493
2, 3, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00004.png', 6.037957100077619
3, 4, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00005.png', 5.701922322201966
4, 5, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00006.png', 5.082527203897966
5, 6, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00007.png', 5.090532572001798
6, 7, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00008.png', 3.8028190994542554
7, 8, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00009.png', 4.32557551270918
8, 9, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00010.png', 4.754860876055803
9, 10, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00011.png', 3.5700619073064113
10, 11, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00012.png', 3.952923484387059
11, 12, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00013.png', 4.097775608358872
12, 13, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00014.png', 3.992822423030612
13, 14, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00015.png', 3.227458792035917
14, 15, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00016.png', 3.7916346666416483
15, 16, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00017.png', 4.004886114641213
16, 17, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00018.png', 4.72263138678164
17, 18, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00019.png', 4.446366695800189
18, 19, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00020.png', 4.72645311113325
19, 20, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00021.png', 4.70180918724385
