0, 1, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00002.png', 4.797257906292363
1, 2, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00003.png', 4.674719633029292
2, 3, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00004.png', 4.875419450427181
3, 4, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00005.png', 4.362577862325854
4, 5, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00006.png', 4.386746179129978
5, 6, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00007.png', 3.8912726042095573
6, 7, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00008.png', 4.60089698481081
7, 8, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00009.png', 5.028481551342853
8, 9, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00010.png', 4.49800332728563
9, 10, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00011.png', 4.686168958243875
10, 11, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00012.png', 4.724225112846377
11, 12, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00013.png', 3.8977999217663437
12, 13, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00014.png', 4.459900728630705
13, 14, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00015.png', 3.8370579273361485
14, 15, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00016.png', 3.937354190000196
