0, 1, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00002.png', 5.617107419761084
1, 2, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00003.png', 5.834422810700369
2, 3, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00004.png', 5.809925789154206
3, 4, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00005.png', 5.066456294162227
4, 5, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00006.png', 4.795925419623897
5, 6, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00007.png', 5.41374393231728
6, 7, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00008.png', 5.579316537418405
7, 8, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00009.png', 5.009528725771709
8, 9, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00010.png', 6.213577758442416
9, 10, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00011.png', 5.458504028202028
10, 11, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00012.png', 5.916459579240477
11, 12, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00013.png', 4.845359032347258
12, 13, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00014.png', 5.8169597877945876
13, 14, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00015.png', 5.240366630227157
14, 15, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00016.png', 6.387343568016057
15, 16, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00017.png', 5.977642297253647
16, 17, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00018.png', 4.53197082692885
17, 18, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00019.png', 5.223929211099611
18, 19, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00020.png', 5.354694260148791
19, 20, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00021.png', 5.002469700909984
20, 21, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00022.png', 4.630991372271096
21, 22, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00023.png', 4.475215232496564
22, 23, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00024.png', 4.346454780241331
23, 24, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00025.png', 4.599566374402005
24, 25, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/1/flow_x_00026.png', 5.591335533394859
