0, 1, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00002.png', 4.593289455539511
1, 2, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00003.png', 4.417042593173393
2, 3, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00004.png', 5.001923222930918
3, 4, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00005.png', 4.526064871121107
4, 5, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00006.png', 5.3826390954391385
5, 6, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00007.png', 5.020322735200486
6, 7, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00008.png', 5.110391016202375
7, 8, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00009.png', 5.367251160596651
8, 9, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00010.png', 4.308185755346641
9, 10, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00011.png', 4.81804975458744
10, 11, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00012.png', 5.73149220473164
11, 12, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00013.png', 5.807688069832795
12, 13, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00014.png', 4.410543941382525
13, 14, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00015.png', 4.342143158892075
14, 15, './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/stir_spoon,cup/1/flow_x_00016.png', 4.42269137851653
