0, 1, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00002.png', 5.224748176055329
1, 2, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00003.png', 5.0263640108880905
2, 3, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00004.png', 5.978243315014774
3, 4, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00005.png', 5.478684926200362
4, 5, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00006.png', 5.966049012771246
5, 6, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00007.png', 5.135237520404148
6, 7, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00008.png', 5.258166917527398
7, 8, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00009.png', 6.066378284486968
8, 9, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00010.png', 5.467693581038767
9, 10, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00011.png', 5.807468155887037
10, 11, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00012.png', 6.293686764569294
11, 12, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/3/flow_y_00013.png', 5.819753553571965
