0, 1, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00002.png', 4.223947163771319
1, 2, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00003.png', 5.22830429582139
2, 3, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00004.png', 4.654712987661276
3, 4, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00005.png', 4.141513810629055
4, 5, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00006.png', 3.528644021610466
5, 6, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00007.png', 5.56083289815893
6, 7, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00008.png', 4.051383287682584
7, 8, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00009.png', 4.673714235328156
8, 9, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00010.png', 4.860915099093568
9, 10, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00011.png', 4.563044975664697
10, 11, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00012.png', 4.899390208010507
11, 12, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00013.png', 5.45757449881916
12, 13, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00014.png', 5.763614618450508
13, 14, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00015.png', 5.411461357485254
14, 15, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00016.png', 5.786755978433305
15, 16, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00017.png', 5.833486747811198
16, 17, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00018.png', 5.619012975818985
17, 18, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00019.png', 5.375741886527094
18, 19, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00020.png', 5.6408299851656025
19, 20, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00021.png', 4.665007387599535
20, 21, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00022.png', 4.714907806526305
21, 22, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00023.png', 4.81192117536623
22, 23, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00024.png', 4.499156080198273
23, 24, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00025.png', 4.090536593172983
24, 25, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00026.png', 5.076121262194255
25, 26, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00027.png', 4.984735752317969
26, 27, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00028.png', 4.48674909680647
27, 28, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00029.png', 4.36492622281233
28, 29, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00030.png', 4.9264259040147556
29, 30, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00031.png', 4.7092824369700885
30, 31, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00032.png', 5.142305564147105
31, 32, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00033.png', 4.583921142970774
32, 33, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00034.png', 5.87874586547886
33, 34, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00035.png', 5.222853335887524
34, 35, './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/pour_ketchup,hotdog,bread/1/flow_y_00036.png', 5.028859188056551
