0, 1, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00002.png', 5.299555792946296
1, 2, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00003.png', 5.834902454865056
2, 3, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00004.png', 6.194131866760079
3, 4, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00005.png', 5.07831894125536
4, 5, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00006.png', 6.145038012509519
5, 6, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00007.png', 5.69385898117885
6, 7, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00008.png', 5.478849999227398
7, 8, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00009.png', 5.243646422685239
8, 9, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00010.png', 5.809848650721484
9, 10, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00011.png', 5.60614827405823
10, 11, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00012.png', 5.74822802524943
11, 12, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00013.png', 5.9874341164595934
12, 13, './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/put_cheese,bread/1/flow_y_00014.png', 6.239267522202046
