0, 1, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00002.png', 4.698121546958825
1, 2, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00003.png', 4.559135718277666
2, 3, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00004.png', 4.43867147845944
3, 4, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00005.png', 4.98650192740209
4, 5, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00006.png', 5.177269464707222
5, 6, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00007.png', 5.803903345301917
6, 7, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00008.png', 4.744367587283576
7, 8, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00009.png', 4.3861770493498
8, 9, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00010.png', 4.264149319101745
9, 10, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00011.png', 3.9386291406766896
10, 11, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00012.png', 4.591589038911336
11, 12, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00013.png', 4.127674493565031
12, 13, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00014.png', 4.6629504513830975
13, 14, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00015.png', 4.533389144284296
14, 15, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00016.png', 3.657022783914525
15, 16, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00017.png', 4.1184043805831845
16, 17, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00018.png', 4.757702152174159
17, 18, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00019.png', 3.8520297329629494
18, 19, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00020.png', 4.166893984734055
19, 20, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00021.png', 4.306717606378266
20, 21, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00022.png', 3.6236914002046965
21, 22, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00023.png', 4.3908860591270775
22, 23, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00024.png', 3.770475154431483
23, 24, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00025.png', 3.730112644079582
24, 25, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00026.png', 4.184521958207357
25, 26, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00027.png', 4.0406329336391105
26, 27, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00028.png', 3.8987568664634384
27, 28, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00029.png', 3.7796472632319196
28, 29, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00030.png', 3.8801331227059728
29, 30, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00031.png', 4.0895404711504115
30, 31, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00032.png', 5.422664819720075
31, 32, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00033.png', 5.096767751125409
32, 33, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00034.png', 4.751285575633243
33, 34, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00034.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00035.png', 4.4802225947093985
34, 35, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00035.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00036.png', 4.6917588392266145
35, 36, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00036.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00037.png', 4.029299538200829
36, 37, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00037.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00038.png', 4.114341393872328
37, 38, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00038.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00039.png', 4.299404054663789
38, 39, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00039.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00040.png', 4.888959760107962
39, 40, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00040.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00041.png', 4.699500137438464
40, 41, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00041.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00042.png', 5.1054453393619665
41, 42, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00042.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00043.png', 4.056338285473179
42, 43, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00043.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00044.png', 5.063811256567519
43, 44, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00044.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00045.png', 4.045756773249484
44, 45, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00045.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00046.png', 5.021571163961781
45, 46, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00046.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00047.png', 4.594816358267066
46, 47, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00047.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00048.png', 4.947870686229939
47, 48, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00048.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00049.png', 4.909085983190005
48, 49, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00049.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00050.png', 3.811871308082918
49, 50, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00050.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00051.png', 4.412828550335133
50, 51, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00051.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00052.png', 4.091964770260405
51, 52, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00052.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00053.png', 5.270670628747298
52, 53, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00053.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00054.png', 5.765676399979475
53, 54, './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00054.png', './GTEA61/flow_y_processed/S1/scoop_jam,spoon/1/flow_y_00055.png', 4.846734089131443
