0, 1, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00002.png', 4.319257392295975
1, 2, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00003.png', 5.094506244617031
2, 3, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00004.png', 5.537770153377927
3, 4, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00005.png', 5.782355439100055
4, 5, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00006.png', 5.816415390128406
5, 6, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00007.png', 4.961831376127939
6, 7, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00008.png', 6.4202805881107485
7, 8, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00009.png', 6.168521099475042
8, 9, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00010.png', 6.498760678689653
9, 10, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00011.png', 5.630748745555033
10, 11, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00012.png', 6.003468632602328
11, 12, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00013.png', 6.2217556408795165
12, 13, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00014.png', 6.045608590408833
13, 14, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00015.png', 5.639667496827494
14, 15, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00016.png', 4.09427521075042
15, 16, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00017.png', 4.687084786043543
16, 17, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00018.png', 4.983291748297576
17, 18, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00019.png', 4.802428487070606
18, 19, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00020.png', 4.2133300588104206
19, 20, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00021.png', 3.8151706136295207
20, 21, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00021.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00022.png', 4.0098961001226705
21, 22, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00022.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00023.png', 5.458717194858169
22, 23, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00023.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00024.png', 5.102406992679149
23, 24, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00024.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00025.png', 3.8503181797844066
24, 25, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00025.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00026.png', 4.235186149540456
25, 26, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00026.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00027.png', 4.445813271709873
26, 27, './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00027.png', './GTEA61/flow_y_processed/S1/scoop_sugar,spoon/4/flow_y_00028.png', 4.626447891897907
