0, 1, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00002.png', 6.0649745121377325
1, 2, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00003.png', 5.032291608479133
2, 3, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00004.png', 5.658011261925757
3, 4, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00005.png', 5.872081685364187
4, 5, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00006.png', 4.932360763383394
5, 6, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00007.png', 5.947711426301262
6, 7, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00008.png', 5.853491318242703
7, 8, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00009.png', 4.942708873856465
8, 9, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00010.png', 4.571755699473184
9, 10, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00011.png', 4.306627423439679
10, 11, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00012.png', 3.939358359765527
11, 12, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00013.png', 4.262747821862813
12, 13, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00014.png', 4.116676838811649
13, 14, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00015.png', 3.7222651033690712
14, 15, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00016.png', 3.4754456487700125
15, 16, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00017.png', 4.369667324414456
16, 17, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00018.png', 3.942079855106572
17, 18, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00019.png', 3.304110367978229
18, 19, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00020.png', 4.681588163634806
19, 20, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00021.png', 4.094057952336642
20, 21, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00022.png', 4.758174949231142
21, 22, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00023.png', 5.27119868644657
22, 23, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00024.png', 3.622145601286777
23, 24, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00025.png', 3.7886007947670777
24, 25, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00026.png', 3.8963222245106723
25, 26, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00027.png', 3.8852963966341942
26, 27, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00028.png', 3.7394812421549104
27, 28, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00029.png', 3.9711621323412394
28, 29, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00030.png', 2.8582801252091867
29, 30, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00031.png', 2.8402826675039288
30, 31, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00032.png', 3.3402712663617677
