0, 1, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00002.png', 7.589443951097923
1, 2, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00003.png', 7.3093700389002985
2, 3, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00004.png', 6.27455894844079
3, 4, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00005.png', 5.377271074721731
4, 5, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00006.png', 5.099749765017725
5, 6, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00007.png', 5.131588579113242
6, 7, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00008.png', 5.071836858536903
7, 8, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00009.png', 5.572690105431466
8, 9, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00010.png', 5.589660840301468
9, 10, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00011.png', 4.9485345475756395
10, 11, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00012.png', 4.0923523495249965
11, 12, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00013.png', 4.46011864905553
12, 13, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00014.png', 4.004402427162398
13, 14, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00015.png', 4.5767255336883785
14, 15, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00016.png', 4.106677054210918
15, 16, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00017.png', 4.950328563439143
16, 17, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00018.png', 4.504314773938189
17, 18, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00019.png', 4.125285197673567
