0, 1, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00002.png', 5.201470879716753
1, 2, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00003.png', 5.490481489732987
2, 3, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00004.png', 4.641383383665557
3, 4, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00005.png', 4.691278517101392
4, 5, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00006.png', 4.3852175888161655
5, 6, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00007.png', 5.06372812177692
6, 7, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00008.png', 5.352296749527424
7, 8, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00009.png', 5.140721036447072
8, 9, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00010.png', 5.4078579852076745
9, 10, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00011.png', 3.9909678929951076
10, 11, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00012.png', 3.70264511265132
11, 12, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00013.png', 4.702656868063731
12, 13, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00014.png', 4.611179455181926
13, 14, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00015.png', 4.806084932286795
14, 15, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00016.png', 4.551346412489545
15, 16, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00017.png', 4.432629015764445
16, 17, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00018.png', 4.152142573885655
17, 18, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00019.png', 4.195241889908863
18, 19, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00020.png', 3.686420419794311
19, 20, './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_sugar,spoon,cup/1/flow_y_00021.png', 4.207626070579812
