0, 1, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00002.png', 5.704296357161222
1, 2, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00003.png', 5.518915523286755
2, 3, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00004.png', 5.3665757670578245
3, 4, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00005.png', 4.5931061187595645
4, 5, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00006.png', 4.94540746535425
5, 6, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00007.png', 4.465752814767182
6, 7, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00008.png', 4.3261061093308895
7, 8, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00009.png', 4.200509069472571
8, 9, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00010.png', 5.381393647359847
9, 10, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00011.png', 4.7491913228855696
10, 11, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00012.png', 4.135685663824909
11, 12, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00013.png', 4.539006657481753
12, 13, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00014.png', 4.444606251310186
13, 14, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00015.png', 4.03399733342896
14, 15, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00016.png', 3.7155744019342682
15, 16, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00017.png', 4.691544779445445
16, 17, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00018.png', 4.585679210612263
17, 18, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00019.png', 4.12430865178232
18, 19, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00020.png', 3.6987300759698507
19, 20, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00021.png', 4.121932598308685
20, 21, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00022.png', 4.003568679182803
21, 22, './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S2/put_bread,bread/2/flow_y_00023.png', 4.768424721259375
