0, 1, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00002.png', 6.184785004837266
1, 2, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00003.png', 6.1856373206546795
2, 3, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00004.png', 5.557542329301053
3, 4, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00005.png', 5.537468539312574
4, 5, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00006.png', 5.276196481967427
5, 6, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00007.png', 5.275199543509245
6, 7, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00008.png', 6.727468520101675
7, 8, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00009.png', 6.655285949341142
8, 9, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00010.png', 6.437972809181939
9, 10, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00011.png', 6.311841014177003
10, 11, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00012.png', 7.262100835503526
11, 12, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00013.png', 7.360698287157121
12, 13, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00014.png', 7.381292373951929
13, 14, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00015.png', 7.2582636961575435
14, 15, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00016.png', 6.277513774572285
15, 16, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00017.png', 6.559950060843316
16, 17, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00018.png', 6.142562831460104
17, 18, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00019.png', 5.067937237546034
18, 19, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00020.png', 5.58806221159214
19, 20, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00021.png', 4.940474709249699
20, 21, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00022.png', 4.239503740371628
21, 22, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00023.png', 4.399596429863197
22, 23, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00024.png', 5.2266608185641665
23, 24, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00025.png', 4.6081897682167945
24, 25, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00026.png', 5.692200254708304
25, 26, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00027.png', 6.094704959325158
26, 27, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00028.png', 6.041693451913774
27, 28, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00029.png', 5.124213070758341
28, 29, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00030.png', 6.1400643252024105
29, 30, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00031.png', 5.251675003731798
30, 31, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00032.png', 5.5830449814298575
31, 32, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00033.png', 5.318229265925575
32, 33, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00034.png', 4.871639510856739
33, 34, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00035.png', 4.115605439196155
34, 35, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00036.png', 4.9539063695211665
35, 36, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00037.png', 4.308349666316914
36, 37, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00038.png', 4.568170822459701
37, 38, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00039.png', 5.510117853917898
38, 39, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00040.png', 5.553093352288481
39, 40, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00041.png', 5.512109981855931
40, 41, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00042.png', 5.422353128472543
41, 42, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00043.png', 5.423549965359942
42, 43, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00044.png', 6.024122663326662
43, 44, './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/put_bread,cheese,bread/1/flow_y_00045.png', 5.327352519903525
