0, 1, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00001.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00002.png', 4.629564886470057
1, 2, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00002.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00003.png', 5.777268588084198
2, 3, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00003.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00004.png', 6.06641316418755
3, 4, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00004.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00005.png', 5.615785451829803
4, 5, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00005.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00006.png', 6.190620751287462
5, 6, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00006.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00007.png', 6.757909659338535
6, 7, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00007.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00008.png', 5.708244618711522
7, 8, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00008.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00009.png', 5.351041978502751
8, 9, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00009.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00010.png', 5.500680275536577
9, 10, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00010.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00011.png', 5.804612999714576
10, 11, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00011.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00012.png', 6.005148604622512
11, 12, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00012.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00013.png', 6.006295347906841
12, 13, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00013.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00014.png', 5.465655930720939
13, 14, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00014.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00015.png', 5.410417687900563
14, 15, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00015.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00016.png', 5.390457074976364
15, 16, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00016.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00017.png', 5.24973660272075
16, 17, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00017.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00018.png', 5.145587384425055
17, 18, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00018.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00019.png', 6.081277427565433
18, 19, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00019.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00020.png', 5.874791821496711
19, 20, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00020.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00021.png', 6.440103939822811
20, 21, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00021.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00022.png', 5.653806625013537
21, 22, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00022.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00023.png', 6.638420805145676
22, 23, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00023.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00024.png', 5.553905924433373
23, 24, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00024.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00025.png', 6.216837169312658
24, 25, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00025.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00026.png', 5.642802443134423
25, 26, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00026.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00027.png', 5.456680164260049
26, 27, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00027.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00028.png', 5.574794049515792
27, 28, './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00028.png', './GTEA61/flow_y_processed/S2/stir_spoon,cup/4/flow_y_00029.png', 4.545740380983532
