0, 1, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00002.png', 5.494068548496682
1, 2, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00003.png', 6.644348645779319
2, 3, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00004.png', 4.700241090873347
3, 4, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00005.png', 5.1721405815751265
4, 5, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00006.png', 4.538795173264314
5, 6, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00007.png', 5.000524606454428
6, 7, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00008.png', 5.666670499829855
7, 8, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00009.png', 4.575944951465502
8, 9, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00010.png', 5.615218064267527
9, 10, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00011.png', 4.828555758014006
10, 11, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00012.png', 5.112595511408052
11, 12, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00013.png', 4.716504051995856
12, 13, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00014.png', 4.217854817374898
13, 14, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00015.png', 4.16406592371321
14, 15, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00016.png', 4.201012923965045
15, 16, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00017.png', 5.075993230781247
16, 17, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00018.png', 4.370730154218461
17, 18, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00019.png', 3.4331327955971442
18, 19, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00020.png', 3.2519186927060746
19, 20, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00021.png', 2.88690239181878
20, 21, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00022.png', 3.1651029192829334
21, 22, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00023.png', 3.613430071340823
22, 23, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00024.png', 3.4096992634461833
23, 24, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00025.png', 3.410719536179857
24, 25, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00026.png', 4.355356537331227
25, 26, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00027.png', 3.1625092274243807
26, 27, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00028.png', 4.034496239031397
27, 28, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00029.png', 3.767867526212257
28, 29, './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/pour_honey,cup/1/flow_y_00030.png', 3.900303151468273
