0, 1, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00002.png', 7.187168330103832
1, 2, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00003.png', 6.533919951869815
2, 3, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00004.png', 5.0899364163017875
3, 4, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00005.png', 5.805032366373661
4, 5, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00006.png', 5.682604812256482
5, 6, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00007.png', 5.822750713565674
6, 7, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00008.png', 5.742195473947917
7, 8, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00009.png', 4.893184562114288
8, 9, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00010.png', 5.330166152462043
9, 10, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00011.png', 5.298158355894182
10, 11, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00012.png', 5.27581109072555
11, 12, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00013.png', 5.000415556263241
12, 13, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00014.png', 5.244183867342487
13, 14, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00015.png', 5.800537086069241
14, 15, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00016.png', 5.086185461062788
15, 16, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00017.png', 5.596635660603952
16, 17, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00018.png', 5.772863190250323
17, 18, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00019.png', 4.493874024377427
18, 19, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00020.png', 4.920393722262631
19, 20, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00021.png', 4.86718474610867
20, 21, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00022.png', 4.028832245258162
21, 22, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00023.png', 4.449350687811396
22, 23, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00024.png', 3.661667907555658
23, 24, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00025.png', 3.945018243281552
24, 25, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00026.png', 2.903120580536191
25, 26, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00027.png', 4.2105061265748365
26, 27, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00028.png', 3.881889840365042
27, 28, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00029.png', 4.139953096768711
28, 29, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00030.png', 3.433548851317203
29, 30, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00031.png', 4.342792556591533
30, 31, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00032.png', 5.761808008555134
31, 32, './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/put_hotdog,bread/1/flow_y_00033.png', 5.561530549115753
