0, 1, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00002.png', 5.815178118564691
1, 2, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00003.png', 5.296075712391343
2, 3, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00004.png', 5.285474226265972
3, 4, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00005.png', 4.3658578416046705
4, 5, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00006.png', 4.761531748192136
5, 6, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00007.png', 6.1918164543368945
6, 7, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00008.png', 4.9922604333513965
7, 8, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00009.png', 5.287113269833225
8, 9, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00010.png', 5.2206519716312245
9, 10, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00011.png', 5.363158162785133
10, 11, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00012.png', 4.612599328020933
11, 12, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00013.png', 5.3977743052772205
12, 13, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00014.png', 5.68387791969922
13, 14, './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S3/scoop_peanut,spoon/1/flow_y_00015.png', 5.0551589724697426
