0, 1, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00002.png', 6.51413785210499
1, 2, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00003.png', 6.305810244893819
2, 3, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00004.png', 5.798747907149117
3, 4, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00005.png', 5.710089999099493
4, 5, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00006.png', 4.961166692986163
5, 6, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00007.png', 5.619126940628759
6, 7, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00008.png', 4.9074304347692905
7, 8, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00009.png', 5.428143982328701
8, 9, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00010.png', 5.943338393576564
9, 10, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00011.png', 6.232232573726826
10, 11, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00012.png', 5.518412063562806
11, 12, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00013.png', 5.795062392124214
12, 13, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00014.png', 5.288387549836626
13, 14, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00015.png', 5.775660476257607
14, 15, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00016.png', 5.06621043957797
15, 16, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00017.png', 4.8758645007872925
16, 17, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00018.png', 4.61656006205762
17, 18, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00019.png', 4.848193832396772
18, 19, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00020.png', 4.669722825371152
19, 20, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00021.png', 4.114098340563485
20, 21, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00022.png', 4.494330610929312
21, 22, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00023.png', 4.57814372267419
22, 23, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00024.png', 4.237977098725217
23, 24, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00025.png', 4.418598048483977
24, 25, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00026.png', 3.896081089199427
25, 26, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00027.png', 4.291309663525155
