0, 1, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 5.692031120281704
1, 2, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', 4.883292007897215
2, 3, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', 4.809042521048619
3, 4, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', 5.635935424677482
4, 5, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', 5.492435898784272
5, 6, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', 4.3814013356372
6, 7, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', 4.99055519544001
7, 8, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', 4.617155194632104
8, 9, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', 4.610898889020843
9, 10, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', 4.242025103372511
10, 11, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', 4.579804910423827
11, 12, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', 3.90470333590692
12, 13, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', 4.463631803690149
13, 14, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00015.png', 5.448760289789555
14, 15, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00016.png', 4.332072824476088
15, 16, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00017.png', 4.494369550207497
16, 17, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00018.png', 5.496165907297812
17, 18, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00019.png', 3.8559923981467157
18, 19, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00020.png', 3.7311460161369663
19, 20, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00021.png', 3.809136546855398
20, 21, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00022.png', 4.89956470200605
21, 22, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00023.png', 4.851448271999208
22, 23, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00024.png', 3.7971858233977196
23, 24, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00025.png', 3.5806385484862653
24, 25, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00026.png', 4.095882954061225
25, 26, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00027.png', 3.5424928749547515
26, 27, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00028.png', 4.141105805866951
27, 28, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00029.png', 4.409962925174005
28, 29, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00030.png', 4.335730161998508
29, 30, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00031.png', 4.361515584761748
30, 31, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00032.png', 4.196516152625801
31, 32, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00033.png', 4.851574983038022
32, 33, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00034.png', 4.87330909644345
33, 34, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00035.png', 4.447088637400714
34, 35, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00036.png', 4.859377873130853
35, 36, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00037.png', 4.248327326190369
36, 37, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00038.png', 5.080137789662466
37, 38, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00039.png', 4.915015248761921
38, 39, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00040.png', 3.680433090040828
39, 40, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00041.png', 4.590171125111436
40, 41, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00042.png', 5.108122938548086
41, 42, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00043.png', 5.698649750483608
42, 43, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00044.png', 4.919387667822033
43, 44, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00045.png', 6.315409123612111
44, 45, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00046.png', 4.900485135703314
45, 46, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00047.png', 4.2104552435428815
46, 47, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00048.png', 4.657239645846499
47, 48, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00049.png', 4.312115631782631
48, 49, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00050.png', 4.842979729710426
49, 50, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00051.png', 5.416770299426319
50, 51, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00052.png', 6.0611580013530295
51, 52, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00053.png', 6.3065382248753625
52, 53, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00054.png', 6.00162069789083
53, 54, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00055.png', 5.649496576748354
54, 55, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00056.png', 5.573274510914536
55, 56, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00057.png', 6.185776036456537
56, 57, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00058.png', 5.620327745451947
57, 58, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00059.png', 5.265224507446434
58, 59, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00060.png', 5.632386154517477
59, 60, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00061.png', 5.61792420073973
60, 61, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00062.png', 5.43463629550668
61, 62, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00063.png', 5.442361029823755
62, 63, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00064.png', 6.459819063264016
63, 64, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00065.png', 6.641268228575796
64, 65, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00066.png', 5.15937518106542
65, 66, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00067.png', 4.628080985982865
66, 67, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00068.png', 4.991812415747157
