0, 1, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00002.png', 6.031454319299747
1, 2, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00003.png', 6.078979693303026
2, 3, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00004.png', 6.245009418872222
3, 4, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00005.png', 5.325015301927796
4, 5, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00006.png', 4.714783456040016
5, 6, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00007.png', 4.923342299813635
6, 7, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00008.png', 5.5637944762127
7, 8, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00009.png', 5.053155440729049
8, 9, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00010.png', 5.843126765708166
9, 10, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00011.png', 5.031788434096183
10, 11, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00012.png', 3.6292084360338936
11, 12, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00013.png', 4.1860131043576105
12, 13, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00014.png', 3.5212718499690667
13, 14, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00015.png', 4.0009792399271715
14, 15, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00016.png', 4.377123745278047
15, 16, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00017.png', 4.029207620957288
16, 17, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00018.png', 4.406593068566134
17, 18, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00019.png', 4.322799464322645
18, 19, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00020.png', 5.057796346362721
19, 20, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00021.png', 4.150300526851142
20, 21, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00022.png', 4.5089190257824425
21, 22, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00023.png', 5.774947769000781
22, 23, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00024.png', 5.286291825415376
23, 24, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00025.png', 5.397639969785866
24, 25, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00026.png', 5.562142185448119
25, 26, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00027.png', 4.715067754296298
26, 27, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00028.png', 4.764618751770251
27, 28, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00029.png', 5.492807588419921
28, 29, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00030.png', 5.76511471984396
29, 30, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00031.png', 4.549474435178088
30, 31, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00032.png', 5.043657326473729
31, 32, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00033.png', 5.7319876067348146
32, 33, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00034.png', 4.690348837105241
33, 34, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00035.png', 4.597808358737685
34, 35, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00036.png', 5.73157853744993
35, 36, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00037.png', 5.13198735347651
