0, 1, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00002.png', 4.896426012700754
1, 2, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00003.png', 5.126365917571201
2, 3, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00004.png', 4.3842883176505945
3, 4, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00005.png', 4.516107650860507
4, 5, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00006.png', 4.312637378497491
5, 6, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00007.png', 4.197587812649003
6, 7, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00008.png', 3.904923477117383
7, 8, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00009.png', 4.9709422729916195
8, 9, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00010.png', 5.379787252358374
9, 10, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00011.png', 5.884682250396487
10, 11, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00012.png', 4.750124508730253
11, 12, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00013.png', 5.07736196325905
12, 13, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00014.png', 4.641412985030639
13, 14, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00015.png', 4.33916943954643
14, 15, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00016.png', 4.403767356856214
15, 16, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00017.png', 4.200220355474364
16, 17, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00018.png', 4.646686642516476
17, 18, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00019.png', 3.80487055441942
18, 19, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00020.png', 4.828830933090917
19, 20, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/4/flow_y_00021.png', 5.596287476949976
