0, 1, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00002.png', 5.083629195160807
1, 2, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00003.png', 4.390471703083645
2, 3, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00004.png', 5.322513464141841
3, 4, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00005.png', 5.360800306084379
4, 5, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00006.png', 4.897783848468269
5, 6, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00007.png', 5.7683612574150995
6, 7, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00008.png', 5.5120757932956765
7, 8, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00009.png', 5.914569680494944
8, 9, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00010.png', 5.569770231151993
9, 10, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00011.png', 6.6799205118715665
10, 11, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00012.png', 4.517982884631548
11, 12, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00013.png', 5.481090437531342
12, 13, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00014.png', 5.176065663647375
13, 14, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00015.png', 5.058318631120801
14, 15, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00016.png', 5.782668045371281
15, 16, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00017.png', 5.748984162333932
16, 17, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00018.png', 6.143205237472523
17, 18, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00019.png', 5.096618899150504
18, 19, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00020.png', 5.953880577759589
19, 20, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00021.png', 5.065336936641545
20, 21, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00022.png', 4.538837601089808
21, 22, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00023.png', 6.09795744124882
22, 23, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00023.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00024.png', 5.600713116388725
23, 24, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00024.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00025.png', 5.9843509742219645
24, 25, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00025.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00026.png', 5.028528653493398
25, 26, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00026.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00027.png', 5.7667379550509095
26, 27, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00027.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00028.png', 5.062888418402682
27, 28, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00028.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00029.png', 5.390414117881431
28, 29, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00029.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00030.png', 5.6877827687614895
29, 30, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00030.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00031.png', 5.205853450467334
30, 31, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00031.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00032.png', 6.4383668897436275
31, 32, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00032.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00033.png', 5.10721314620548
32, 33, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00033.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00034.png', 4.347817519401738
33, 34, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00034.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00035.png', 5.2119490765937915
34, 35, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00035.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00036.png', 6.22725781597501
35, 36, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00036.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00037.png', 5.793566733469384
36, 37, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00037.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00038.png', 6.519327758160044
37, 38, './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00038.png', './GTEA61/flow_y_processed/S4/spread_peanut,spoon,bread/2/flow_y_00039.png', 5.854199428536483
