0, 1, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0002.png', 0.298097472684284
1, 2, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0003.png', 0.21970691922851499
2, 3, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0004.png', 0.09786338898392126
3, 4, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0005.png', 0.043940678706667506
4, 5, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0006.png', 0.05158963795756159
5, 6, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0007.png', 0.11105231299343442
6, 7, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0008.png', 0.11943617454634306
7, 8, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0009.png', 0.12684430848714687
8, 9, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0010.png', 0.11266119973969695
9, 10, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0011.png', 0.5037932444263467
10, 11, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0012.png', 0.36903644741066516
11, 12, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0013.png', 0.23219513112180368
12, 13, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0014.png', 0.17595561428265227
13, 14, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0015.png', 0.03986870811853921
14, 15, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0016.png', 0.05731060400639211
15, 16, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0017.png', 0.143335561125272
16, 17, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0018.png', 0.1467296150824741
17, 18, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0019.png', 0.13244730100737628
18, 19, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0020.png', 0.1413634104607856
19, 20, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/1/mmaps/map0021.png', 0.2619353172374391
