0, 1, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0002.png', 6.313279537759815
1, 2, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0003.png', 6.298177490900401
2, 3, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0004.png', 5.954722403501238
3, 4, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0005.png', 5.781612619735119
4, 5, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0006.png', 5.901871673092239
5, 6, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0007.png', 5.910795584985341
6, 7, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0008.png', 5.973335106928434
7, 8, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0009.png', 6.028910121971883
8, 9, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0010.png', 5.389372686465194
9, 10, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0011.png', 4.917358715998849
10, 11, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0012.png', 5.455638900175608
11, 12, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/3/rgb/rgb0013.png', 5.872714240183863
