0, 1, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 5.815722886317808
1, 2, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', 5.261765471727762
2, 3, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', 6.063200512034817
3, 4, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', 5.269366699271015
4, 5, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', 5.2153380964925296
5, 6, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', 6.022059810777949
6, 7, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', 5.934173571093554
7, 8, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', 4.856829774052528
8, 9, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', 4.778726401220722
9, 10, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', 5.179170458178833
10, 11, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', 5.178134917427769
11, 12, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', 5.166707891555388
12, 13, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', 5.163857481657391
13, 14, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', 5.105772696834403
14, 15, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', 5.003628014660548
15, 16, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', 4.438327151897786
16, 17, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', 4.770128057871895
17, 18, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', 4.6727455136593665
18, 19, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', 4.663232585217642
19, 20, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', 4.849838692409401
20, 21, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', 4.712847190615232
21, 22, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', 4.238177498219829
22, 23, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0024.png', 4.459501250609459
23, 24, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0025.png', 4.577919940524554
24, 25, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0026.png', 4.46938324613441
25, 26, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0027.png', 4.11071417653953
26, 27, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0028.png', 4.287835416628841
