0, 1, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0002.png', 0.0634427472524142
1, 2, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0003.png', 0.0231025197657298
2, 3, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0004.png', 0.017057689341427408
3, 4, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0005.png', 0.016657802964878055
4, 5, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0006.png', 0.02586299696652629
5, 6, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0007.png', 0.03263463034012862
6, 7, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0008.png', 0.023704564406865594
7, 8, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0009.png', 0.022800370227844133
8, 9, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0010.png', 0.041748688623211315
9, 10, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0011.png', 0.09313482881012455
10, 11, './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_mustard,cheese,bread/1/mmaps/map0012.png', 0.08621987523428147
