0, 1, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.26170712210127545
1, 2, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0003.png', 0.25331530196540303
2, 3, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0004.png', 0.25006349629543656
3, 4, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0005.png', 0.26843889883206873
4, 5, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0006.png', 0.26911530998050937
5, 6, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0007.png', 0.3036507127261341
6, 7, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0008.png', 0.2743496724297608
7, 8, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0009.png', 0.28284886140518384
8, 9, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0010.png', 0.27516797200462223
9, 10, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0011.png', 0.3725969088966911
10, 11, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0012.png', 0.25451069171208696
11, 12, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0013.png', 0.28097480520789453
12, 13, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0014.png', 0.253932590443205
13, 14, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0015.png', 0.23131253809174743
14, 15, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0016.png', 0.3117812654653611
15, 16, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0017.png', 0.33355574903836693
16, 17, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0018.png', 0.2880721758158813
