0, 1, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0002.png', 0.14848794012712271
1, 2, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0003.png', 0.1385093806685242
2, 3, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0004.png', 0.12328358119155697
3, 4, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0005.png', 0.1491514228347456
4, 5, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0006.png', 0.14083275068695003
5, 6, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0007.png', 0.11933441263047913
6, 7, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0008.png', 0.10396237411626932
7, 8, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0009.png', 0.1448207351044381
8, 9, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0010.png', 0.13367661356522623
9, 10, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0011.png', 0.29053998368190637
10, 11, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0012.png', 0.20717325029848832
11, 12, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0013.png', 0.19579348806285315
12, 13, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0014.png', 0.20993788203770042
13, 14, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0015.png', 0.17281725277915894
14, 15, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0016.png', 0.20121743680623033
15, 16, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0017.png', 0.2148448415056364
16, 17, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0018.png', 0.18498760912905238
17, 18, './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_sugar,spoon,cup/3/mmaps/map0019.png', 0.2105641831601744
