0, 1, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0002.png', 0.4740641127937083
1, 2, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0003.png', 0.44120324724152055
2, 3, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0004.png', 0.4215605842687544
3, 4, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0005.png', 0.4208266836806917
4, 5, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0006.png', 0.42399105511311636
5, 6, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0007.png', 0.427285088805895
6, 7, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0008.png', 0.3883129220579108
7, 8, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0009.png', 0.3618544681196366
8, 9, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0010.png', 0.3424673110840696
9, 10, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0011.png', 0.7313894831541019
10, 11, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0012.png', 0.5623526134524832
11, 12, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0013.png', 0.5286793745051548
12, 13, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0014.png', 0.4782343905238439
13, 14, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0015.png', 0.4706806147175863
14, 15, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0016.png', 0.4863864000159625
15, 16, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0017.png', 0.4901333939987358
16, 17, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0018.png', 0.4787436759418723
17, 18, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0019.png', 0.4230551103451315
18, 19, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0020.png', 0.3085913126805613
19, 20, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0021.png', 0.2553959773028362
20, 21, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0022.png', 0.22813146286488462
21, 22, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0023.png', 0.262771260919897
22, 23, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0024.png', 0.11167593337485521
23, 24, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0025.png', 0.11836633665179357
24, 25, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0026.png', 0.10194117884703119
25, 26, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0027.png', 0.08894822861651228
26, 27, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0028.png', 0.038105527263807885
27, 28, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0029.png', 0.04877002170274884
28, 29, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0030.png', 0.09033134552936542
29, 30, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0031.png', 0.13923679930755187
30, 31, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0032.png', 0.09683635083227671
31, 32, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0033.png', 0.10797074879789706
32, 33, './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/mmaps/map0034.png', 0.082620252394052
