0, 1, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0002.png', 5.933511834717713
1, 2, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0003.png', 6.030230885403907
2, 3, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0004.png', 5.864370106821517
3, 4, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0005.png', 5.702841028852929
4, 5, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0006.png', 5.582681921838935
5, 6, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0007.png', 5.48906471926922
6, 7, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0008.png', 5.472189220169589
7, 8, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0009.png', 5.528027119297069
8, 9, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0010.png', 5.502223065463666
9, 10, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0011.png', 5.305416709406488
10, 11, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0012.png', 5.214795079944327
11, 12, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0013.png', 5.225445565656879
12, 13, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0014.png', 5.015325081484782
13, 14, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0015.png', 5.276445309565177
14, 15, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0016.png', 4.990701276888694
15, 16, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0017.png', 4.680631022940675
16, 17, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0018.png', 5.071209497833645
17, 18, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0019.png', 4.614368225981048
18, 19, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0020.png', 4.872621638882597
19, 20, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/rgb/rgb0021.png', 5.397660011635014
