0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0002.png', 6.384010021778949
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0003.png', 5.75763960971851
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0004.png', 5.075825217569431
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0005.png', 4.898229961861811
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0006.png', 5.525317248226501
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0007.png', 4.908746432834291
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0008.png', 4.709377818702342
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0009.png', 4.774635196324432
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0010.png', 5.0386059766447
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0011.png', 4.819781850145268
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0012.png', 4.985825238413391
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0013.png', 5.463236360803476
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0014.png', 6.336496017743029
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0015.png', 6.775938458912479
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0016.png', 6.939051897856149
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0017.png', 6.953617349275642
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0018.png', 6.812484440347855
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0019.png', 6.382976625706599
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0020.png', 6.142128630012048
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0021.png', 4.947198534221158
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0022.png', 5.77878813951208
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0023.png', 5.105667144453886
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0024.png', 5.422819139588779
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0025.png', 5.400846709849397
24, 25, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/4/rgb/rgb0026.png', 6.059288611892739
