0, 1, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0002.png', 5.261931363946921
1, 2, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0003.png', 4.939829760255849
2, 3, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0004.png', 4.862596426755209
3, 4, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0005.png', 5.117650704124409
4, 5, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0006.png', 5.161011557762092
5, 6, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0007.png', 4.925646173728716
6, 7, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0008.png', 5.081009541108917
7, 8, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0009.png', 4.943857986166228
8, 9, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0010.png', 4.571575769201478
9, 10, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0011.png', 4.778271609031905
10, 11, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0012.png', 5.088889258154072
11, 12, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0013.png', 4.670940923510127
12, 13, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0014.png', 4.48341180816229
13, 14, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0015.png', 4.795328207340518
14, 15, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0016.png', 4.652775519390732
15, 16, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0017.png', 4.928042668134415
16, 17, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0018.png', 4.856398793992015
17, 18, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0019.png', 4.614132005457136
18, 19, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0020.png', 4.604803762887841
19, 20, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0021.png', 4.894248076923873
20, 21, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0022.png', 4.8121098501101995
21, 22, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0023.png', 4.756576913692096
22, 23, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0024.png', 4.682575829166424
23, 24, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0025.png', 4.275691046020752
24, 25, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0026.png', 4.462979865311134
25, 26, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0027.png', 4.539791698333923
26, 27, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0028.png', 4.64330620050115
27, 28, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0029.png', 4.9983400063445345
28, 29, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0030.png', 4.468684033017366
29, 30, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0031.png', 4.420981558009644
30, 31, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0032.png', 4.842780041320161
31, 32, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0033.png', 5.249822369639964
32, 33, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0034.png', 4.6065974361138835
33, 34, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0035.png', 4.565605806673833
34, 35, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0036.png', 4.828156096152604
35, 36, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0037.png', 4.765408834949296
36, 37, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0038.png', 4.602273284997904
37, 38, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0039.png', 5.058527584824796
38, 39, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0040.png', 4.7989057574497105
39, 40, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0041.png', 4.5869686960590075
40, 41, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0042.png', 4.899323460328839
41, 42, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0043.png', 4.968259720828335
42, 43, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0044.png', 4.749753748526683
43, 44, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0045.png', 4.6677979507367935
44, 45, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0046.png', 4.491571359311272
45, 46, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0047.png', 4.583550268042456
46, 47, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0048.png', 4.957825078248573
47, 48, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0049.png', 4.675610359047244
48, 49, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0050.png', 4.71484269581189
49, 50, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0051.png', 4.383627738298691
50, 51, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0052.png', 4.695321692236908
51, 52, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0053.png', 5.537671241590434
52, 53, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0054.png', 5.851908029082888
53, 54, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/rgb/rgb0055.png', 5.968036392328093
