0, 1, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0002.png', 0.2279699024773938
1, 2, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0003.png', 0.18717625687320816
2, 3, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0004.png', 0.08750344520858955
3, 4, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0005.png', 0.06513326053358057
4, 5, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0006.png', 0.06681286257237162
5, 6, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0007.png', 0.07372012142783796
6, 7, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0008.png', 0.05675105108614136
7, 8, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0009.png', 0.029072313489856446
8, 9, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0010.png', 0.05668879680312228
9, 10, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0011.png', 0.3604986536344067
10, 11, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0012.png', 0.19579348806285315
11, 12, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0013.png', 0.21314503477280422
12, 13, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0014.png', 0.15675779160324022
13, 14, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0015.png', 0.12888618865653734
14, 15, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0016.png', 0.11703764575228527
15, 16, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0017.png', 0.13170795135919014
16, 17, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0018.png', 0.11281653067665014
17, 18, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0019.png', 0.05139854830122566
18, 19, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0020.png', 0.07977835436813395
19, 20, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0021.png', 0.045060346664968706
20, 21, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0022.png', 0.03022149603654664
21, 22, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0023.png', 0.015040519732288163
22, 23, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0024.png', 0.018797846523535888
23, 24, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0025.png', 0.011281033314529098
24, 25, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0026.png', 0.006556541218943882
25, 26, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0027.png', 0.01911102628555858
26, 27, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0028.png', 0.10765591117629245
27, 28, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0029.png', 0.2736047706262583
28, 29, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/mmaps/map0030.png', 0.2824084411054744
