0, 1, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0002.png', 5.878493466434781
1, 2, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0003.png', 5.75536555609472
2, 3, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0004.png', 5.582620041647932
3, 4, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0005.png', 5.201926631484576
4, 5, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0006.png', 5.073554367263723
5, 6, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0007.png', 4.963861681775205
6, 7, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0008.png', 4.645128641404319
7, 8, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0009.png', 4.7525260590777725
8, 9, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0010.png', 4.708158749522255
9, 10, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0011.png', 4.495601096060824
10, 11, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0012.png', 4.856365793997985
11, 12, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0013.png', 4.542784707224458
12, 13, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0014.png', 4.214704747722334
13, 14, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0015.png', 4.737001789269213
14, 15, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0016.png', 4.8162055961423755
15, 16, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0017.png', 4.671920329995672
16, 17, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0018.png', 4.3954565678079485
17, 18, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/1/rgb/rgb0019.png', 4.4646937196109135
