0, 1, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0002.png', 0.22950280010963173
1, 2, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0003.png', 0.20045216583535116
2, 3, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0004.png', 0.204689403682552
3, 4, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0005.png', 0.20658493229591185
4, 5, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0006.png', 0.20426723602296418
5, 6, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0007.png', 0.21339412747344888
6, 7, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0008.png', 0.20717325029848832
7, 8, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0009.png', 0.16816153070405662
8, 9, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0010.png', 0.15949645730436368
9, 10, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0011.png', 0.28053298558504425
10, 11, './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/stir_spoon,cup/1/mmaps/map0012.png', 0.2164567022485459
