0, 1, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0002.png', 5.053537249092891
1, 2, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0003.png', 4.9905418449046826
2, 3, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0004.png', 5.264181857245154
3, 4, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0005.png', 5.243092729222755
4, 5, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0006.png', 5.4053329127441
5, 6, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0007.png', 5.087508885581264
6, 7, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0008.png', 5.1637836984888486
7, 8, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0009.png', 5.1042305048440655
8, 9, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0010.png', 4.537382446351224
9, 10, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0011.png', 4.2199780309203
10, 11, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0012.png', 4.364185174010662
11, 12, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0013.png', 4.471503478139711
12, 13, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0014.png', 4.300815358463831
13, 14, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0015.png', 3.9922528081113424
14, 15, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0016.png', 4.138489429077956
15, 16, './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/rgb/rgb0017.png', 4.418395448303915
