0, 1, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', 0.35217058609480006
1, 2, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', 0.3754434781270245
2, 3, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', 0.30524316219333747
3, 4, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', 0.11544738261504328
4, 5, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', 0.016014380314503432
5, 6, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', 0.00874590784647976
6, 7, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', -0.0
7, 8, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', -0.0
8, 9, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', 0.6683624272574321
10, 11, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', 0.33624941317204904
11, 12, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', 0.3420680296981441
12, 13, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', 0.3505966531671334
13, 14, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', 0.18844127490277351
14, 15, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', 0.04208242265487411
15, 16, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', 0.023027053633690064
16, 17, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', 0.00874590784647976
17, 18, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', -0.0
18, 19, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', -0.0
19, 20, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', 0.0059926519214588145
20, 21, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', 0.0059926519214588145
21, 22, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', 0.009013185442534974
22, 23, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', 0.013141951923444747
23, 24, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', 0.01305837296421761
24, 25, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', 0.0089242343066975
25, 26, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', 0.006835740708911834
26, 27, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', 0.006835740708911834
27, 28, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0029.png', 0.009279209349486487
28, 29, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0030.png', 0.009279209349486487
29, 30, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0031.png', -0.0
