0, 1, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', 0.0089242343066975
1, 2, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', 0.009013185442534974
2, 3, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', 0.009013185442534974
3, 4, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', -0.0
4, 5, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', -0.0
5, 6, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', 0.009013185442534974
6, 7, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', 0.009013185442534974
7, 8, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', -0.0
8, 9, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', 0.034246156079008314
10, 11, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', 0.03639340337146427
11, 12, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', 0.02004498904140762
12, 13, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', 0.011195275204437673
13, 14, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', 0.01585281165173505
14, 15, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', 0.0089242343066975
15, 16, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', 0.006087164821851623
16, 17, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', 0.009367612527378423
17, 18, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', -0.0
18, 19, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', -0.0
19, 20, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0021.png', 0.060518322080955145
20, 21, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0022.png', 0.16345934723567088
21, 22, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0023.png', 0.2551266878891337
22, 23, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0024.png', 0.2895976161675213
23, 24, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0025.png', 0.32156195349260125
24, 25, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0026.png', 0.3433315422140565
25, 26, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/mmaps/map0027.png', 0.31804229300203535
