0, 1, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0002.png', 0.08716910204790797
1, 2, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0003.png', 0.0627148157046107
2, 3, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0004.png', 0.04857641901383587
3, 4, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0005.png', 0.027549906947861063
4, 5, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0006.png', 0.027841163985290872
5, 6, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0007.png', 0.03714881963138442
6, 7, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0008.png', 0.017535343773559458
7, 8, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0009.png', 0.023328635668721422
8, 9, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0010.png', 0.02549343548064046
9, 10, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0011.png', 0.10486287768500253
10, 11, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0012.png', 0.06800608033580219
11, 12, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0013.png', 0.05799272003285702
12, 13, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0014.png', 0.03319700564388813
13, 14, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0015.png', 0.033547482861527006
14, 15, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0016.png', 0.02856666363285629
15, 16, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0017.png', 0.03263463034012862
16, 17, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0018.png', 0.030435972099855057
17, 18, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0019.png', 0.02593678453079047
18, 19, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0020.png', 0.0207401767313252
19, 20, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0021.png', 0.033126817753679275
20, 21, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0022.png', 0.024676670385179393
21, 22, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0023.png', 0.037491102236327456
22, 23, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0024.png', 0.016175660503542855
23, 24, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0025.png', -0.0
24, 25, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0026.png', 0.013724506274630677
25, 26, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0027.png', 0.013724506274630677
26, 27, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0028.png', 0.008567004826127734
27, 28, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0029.png', 0.004447198467456188
28, 29, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0030.png', 0.00874590784647976
29, 30, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0031.png', -0.0
30, 31, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0033.png', -0.0
32, 33, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0033.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0034.png', -0.0
33, 34, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0034.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0035.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0036.png', 0.01721717191832979
35, 36, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0036.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0037.png', 0.02407934781648338
36, 37, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0037.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0038.png', 0.009013185442534974
37, 38, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0038.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0039.png', 0.0089242343066975
38, 39, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0039.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0040.png', 0.0089242343066975
39, 40, './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0040.png', './GTEA61/processed_frames2/S2/pour_water,cup/2/mmaps/map0041.png', 0.00998277997953677
