0, 1, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0002.png', 0.4096551431150908
1, 2, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0003.png', 0.44395615544550904
2, 3, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0004.png', 0.4349147431406247
3, 4, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0005.png', 0.4320066742468528
4, 5, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0006.png', 0.42862113110708616
5, 6, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0007.png', 0.3932716239135848
6, 7, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0008.png', 0.44576595949768644
7, 8, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0009.png', 0.4011983194052801
8, 9, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0010.png', 0.3748120175680798
9, 10, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0011.png', 0.5586283518295402
10, 11, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0012.png', 0.4318334964313404
11, 12, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0013.png', 0.45709978783025285
12, 13, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0014.png', 0.4725776262127305
13, 14, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0015.png', 0.4310536093510834
14, 15, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0016.png', 0.4107304678659908
15, 16, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0017.png', 0.40758898915016295
16, 17, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0018.png', 0.41791205964993466
17, 18, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0019.png', 0.36916395421096637
18, 19, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0020.png', 0.3427333562941911
