0, 1, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0002.png', 4.968099950105128
1, 2, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0003.png', 5.2752183183320955
2, 3, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0004.png', 5.260151783265296
3, 4, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0005.png', 5.17449849560187
4, 5, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0006.png', 5.274826246277238
5, 6, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0007.png', 5.273706039741495
6, 7, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0008.png', 5.921633897653036
7, 8, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0009.png', 6.063088329012411
8, 9, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0010.png', 6.259375415800851
9, 10, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0011.png', 5.954674724900708
10, 11, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0012.png', 5.759335383094106
11, 12, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0013.png', 5.903798762623399
12, 13, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0014.png', 5.671217027737176
13, 14, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0015.png', 5.624047037886004
14, 15, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0016.png', 5.382026882419938
15, 16, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0017.png', 4.81909657672419
16, 17, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0018.png', 4.818126820876612
17, 18, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0019.png', 4.860534754447371
18, 19, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0020.png', 5.225467468141467
19, 20, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0021.png', 4.790961487518526
20, 21, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0022.png', 5.276424064346293
21, 22, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0023.png', 5.268210846268748
22, 23, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0024.png', 5.236894247155685
23, 24, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0025.png', 5.869060749265782
24, 25, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0026.png', 6.387990821265903
25, 26, './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/rgb/rgb0027.png', 6.687731984999952
