0, 1, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0002.png', 0.4082484947945356
1, 2, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0003.png', 0.4262375206417579
2, 3, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0004.png', 0.39971201165828635
3, 4, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0005.png', 0.3181807006600178
4, 5, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0006.png', 0.2527746249901375
5, 6, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0007.png', 0.2511882496707516
6, 7, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0008.png', 0.18274517385250122
7, 8, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0009.png', 0.1047570539927501
8, 9, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0010.png', 0.07155444832845664
9, 10, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0011.png', 0.6782254896860498
10, 11, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0012.png', 0.45815282057280643
11, 12, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0013.png', 0.4289112024194843
12, 13, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0014.png', 0.3955989421534669
13, 14, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0015.png', 0.2720000132240978
14, 15, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0016.png', 0.2157133727091902
15, 16, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0017.png', 0.22052664246085504
16, 17, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0018.png', 0.2206904372235485
17, 18, './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/put_hotdog,bread/1/mmaps/map0019.png', 0.14796593007822334
