0, 1, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0002.png', 0.31363147356002624
1, 2, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0003.png', 0.2849729538831805
2, 3, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0004.png', 0.28273878706187494
3, 4, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0005.png', 0.23821511132585277
4, 5, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0006.png', 0.20721524768280952
5, 6, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0007.png', 0.16166644107287553
6, 7, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0008.png', 0.20151473568579906
7, 8, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0009.png', 0.13675844968683104
8, 9, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0010.png', 0.13155992179593332
9, 10, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0011.png', 0.4579589732078113
10, 11, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0012.png', 0.2989551556053947
11, 12, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0013.png', 0.2778750936712241
12, 13, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0014.png', 0.2524267753989665
13, 14, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0015.png', 0.20931083438629197
14, 15, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0016.png', 0.16368870609844755
15, 16, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0017.png', 0.1430955383310932
16, 17, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0017.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0018.png', 0.1674796754236165
17, 18, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0018.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0019.png', 0.1600976915820785
18, 19, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0019.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0020.png', 0.1333327742400445
19, 20, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0020.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0021.png', 0.16915980443558626
20, 21, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0021.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0022.png', 0.2949780691594606
21, 22, './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0022.png', './GTEA61/processed_frames2/S2/scoop_coffee,spoon/4/mmaps/map0023.png', 0.3141540992079167
