0, 1, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0002.png', 0.34096868148272647
1, 2, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0003.png', 0.4259170844266581
2, 3, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0004.png', 0.39880030258905697
3, 4, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0005.png', 0.38184851662867636
4, 5, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0006.png', 0.3663528155587486
5, 6, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0007.png', 0.32176836430350203
6, 7, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0008.png', 0.29515778504260953
7, 8, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0009.png', 0.3138057318809756
8, 9, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0010.png', 0.2987408494793099
9, 10, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0011.png', 0.6510513308341714
10, 11, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0012.png', 0.537678911595569
11, 12, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0013.png', 0.4574879522842332
12, 13, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0014.png', 0.41572466199850544
13, 14, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0015.png', 0.42197119754485046
14, 15, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0016.png', 0.3926270369248669
15, 16, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0017.png', 0.40734899861425683
16, 17, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0018.png', 0.38234813401249673
17, 18, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0019.png', 0.4065684009699889
18, 19, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0020.png', 0.34614856629349855
