0, 1, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0002.png', 5.376777999709306
1, 2, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0003.png', 5.703321510186086
2, 3, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0004.png', 5.506132586250119
3, 4, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0005.png', 5.252055039393742
4, 5, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0006.png', 4.963848077278049
5, 6, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0007.png', 5.194405804604973
6, 7, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0008.png', 5.532195575076549
7, 8, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0009.png', 5.167065142528559
8, 9, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0010.png', 5.079883682610008
9, 10, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0011.png', 4.404856374210581
10, 11, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0012.png', 4.606705464905742
11, 12, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0013.png', 4.572517681753208
12, 13, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0014.png', 4.401413767226346
13, 14, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0015.png', 4.7496517305769475
14, 15, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0016.png', 5.150885794780018
15, 16, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0017.png', 5.345220061871264
16, 17, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0018.png', 5.117836126045798
17, 18, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0019.png', 5.325237632064412
18, 19, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0020.png', 5.3009279110584115
19, 20, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0021.png', 4.894933709892786
20, 21, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0022.png', 5.746351360644436
