0, 1, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0002.png', 0.22052664246085504
1, 2, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0003.png', 0.2447195357038047
2, 3, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0004.png', 0.27364203823255895
3, 4, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0005.png', 0.24819691269799332
4, 5, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0006.png', 0.28468042782399045
5, 6, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0007.png', 0.3444267247769949
6, 7, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0008.png', 0.30496036623596284
7, 8, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0009.png', 0.28321562809543155
8, 9, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0010.png', 0.26292312062933654
9, 10, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0011.png', 0.4028926966775269
10, 11, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0012.png', 0.2961632000207935
11, 12, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0013.png', 0.252078712861265
12, 13, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0014.png', 0.257890482960487
13, 14, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0015.png', 0.262771260919897
14, 15, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0016.png', 0.3034380689396425
15, 16, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0017.png', 0.33799403411469087
16, 17, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0018.png', 0.31083654072409417
17, 18, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0019.png', 0.33118913174098397
18, 19, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0020.png', 0.3151284707404831
19, 20, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0021.png', 0.26934060574469243
20, 21, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0022.png', 0.2905761988752264
21, 22, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0023.png', 0.2514206790781631
22, 23, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0024.png', 0.28005397412917965
23, 24, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0025.png', 0.2943666317907637
24, 25, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0026.png', 0.3172111887762459
25, 26, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0027.png', 0.27218683941909194
26, 27, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0028.png', 0.2757623825480386
27, 28, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0029.png', 0.3213554732074811
28, 29, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0030.png', 0.29021394799466727
29, 30, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0031.png', 0.2760964740698229
30, 31, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0032.png', 0.239640736957332
31, 32, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0033.png', 0.253932590443205
32, 33, './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/spread_jam,spoon,bread/1/mmaps/map0034.png', 0.2748705406769345
