0, 1, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0002.png', 5.560781562628538
1, 2, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0003.png', 5.654016848157748
2, 3, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0004.png', 5.478447002218984
3, 4, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0005.png', 5.041990781731208
4, 5, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0006.png', 5.439389013050135
5, 6, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0007.png', 5.444846047431676
6, 7, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0008.png', 5.357798380734092
7, 8, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0009.png', 5.025279111377398
8, 9, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0010.png', 4.71998481163733
9, 10, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0011.png', 5.202623197933044
10, 11, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0012.png', 5.211110677353905
11, 12, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0013.png', 5.075580252039706
12, 13, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0014.png', 4.576359299210042
13, 14, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0015.png', 4.588191585300386
14, 15, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0016.png', 5.214658041085667
15, 16, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0017.png', 4.734369891809912
16, 17, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0018.png', 5.135334779672661
17, 18, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0019.png', 4.983868521512646
18, 19, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0020.png', 4.990706386578168
19, 20, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0021.png', 5.3057388571851085
20, 21, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0022.png', 5.121357014578156
21, 22, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0023.png', 5.055877053268879
